drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.45,18.75,10.0,convex,53.700
0.45,2.5,10.0,convex,NAN
0.45,20.0,10.0,convex,49.700
0.45,21.25,10.0,convex,46.600
0.45,22.5,10.0,convex,44.900
0.45,23.75,10.0,convex,43.800
0.45,25.0,10.0,convex,41.800
0.45,3.75,10.0,convex,NAN
0.45,5.0,10.0,convex,NAN
0.45,6.25,10.0,convex,NAN
0.45,7.5,10.0,convex,NAN
0.45,8.75,10.0,convex,NAN
0.5,0.0,10.0,convex,NAN
0.5,1.25,10.0,convex,NAN
0.5,10.0,10.0,convex,NAN
0.5,11.25,10.0,convex,NAN
0.5,12.5,10.0,convex,178.400
0.5,13.75,10.0,convex,85.100
0.5,15.0,10.0,convex,66.900
0.5,16.25,10.0,convex,58.350
0.5,17.5,10.0,convex,53.050
0.5,18.75,10.0,convex,49.700
0.5,2.5,10.0,convex,NAN
0.5,20.0,10.0,convex,46.800
0.5,21.25,10.0,convex,44.600
0.5,22.5,10.0,convex,42.900
0.5,23.75,10.0,convex,41.700
0.5,25.0,10.0,convex,40.050
0.5,3.75,10.0,convex,NAN
0.5,5.0,10.0,convex,NAN
0.5,6.25,10.0,convex,NAN
0.5,7.5,10.0,convex,NAN
0.5,8.75,10.0,convex,NAN
0.55,0.0,10.0,convex,NAN
0.55,1.25,10.0,convex,NAN
0.55,10.0,10.0,convex,NAN
0.55,11.25,10.0,convex,191.700
0.55,12.5,10.0,convex,83.950
0.55,13.75,10.0,convex,65.750
0.55,15.0,10.0,convex,57.500
0.55,16.25,10.0,convex,51.850
0.55,17.5,10.0,convex,48.700
0.55,18.75,10.0,convex,45.800
0.55,2.5,10.0,convex,NAN
0.55,20.0,10.0,convex,44.700
0.55,21.25,10.0,convex,41.800
0.55,22.5,10.0,convex,41.050
0.55,23.75,10.0,convex,39.500
0.55,25.0,10.0,convex,38.800
0.55,3.75,10.0,convex,NAN
0.55,5.0,10.0,convex,NAN
0.55,6.25,10.0,convex,NAN
0.55,7.5,10.0,convex,NAN
0.55,8.75,10.0,convex,NAN
0.6,0.0,10.0,convex,NAN
0.6,1.25,10.0,convex,NAN
0.6,10.0,10.0,convex,195.000
0.6,11.25,10.0,convex,83.000
0.6,12.5,10.0,convex,65.400
0.6,13.75,10.0,convex,58.100
0.6,15.0,10.0,convex,51.100
0.6,16.25,10.0,convex,49.050
0.6,17.5,10.0,convex,44.550
0.6,18.75,10.0,convex,43.350
0.6,2.5,10.0,convex,NAN
0.6,20.0,10.0,convex,41.850
0.6,21.25,10.0,convex,40.450
0.6,22.5,10.0,convex,39.300
0.6,23.75,10.0,convex,38.750
0.6,25.0,10.0,convex,36.400
0.6,3.75,10.0,convex,NAN
0.6,5.0,10.0,convex,NAN
0.6,6.25,10.0,convex,NAN
0.6,7.5,10.0,convex,NAN
0.6,8.75,10.0,convex,NAN
0.65,0.0,10.0,convex,NAN
0.65,1.25,10.0,convex,NAN
0.65,10.0,10.0,convex,81.550
0.65,11.25,10.0,convex,64.950
0.65,12.5,10.0,convex,56.700
0.65,13.75,10.0,convex,51.350
0.65,15.0,10.0,convex,47.200
0.65,16.25,10.0,convex,44.800
0.65,17.5,10.0,convex,43.300
